Godot Label,English,Spanish
LoadingLabel,Results Loading...,Cargando resultados...
FinaleHeader,YOUR COMMUNITY CLIMATE ACTION,ACCIÓN CLIMÁTICA DE TU COMUNIDAD
FinaleSubheader,"How can you use your skills and interests with a group you are a part of to take climate action? Get creative!

Some community-oriented organizations you could check out:","¿Cómo puedes usar tus habilidades e intereses con un grupo del que formas parte para impulsar acciones climáticas? ¡Usa tu creatividad!

Algunas organizaciones comunitarias que podrías consultar:"
LocalHeader,LOCAL OREGON,LOCALIZADAS EN OREGÓN
NationalHeader,NATIONWIDE,A NIVEL NACIONAL
QRInfo,Scan me for more info!,Escanéame para más información
Qrinfo,Scan me for more info!,Escanéame para más información
MainHeader,Find Your Community Climate Action,Encuentra tu acción climática comunitaria
MainSubheader,"Pick the puzzle pieces that feel like they fit you. 
Use them to complete the Venn Diagram.","Elige las piezas del rompecabezas que encajen contigo.
Úsalas para completar el diagrama de Venn."
Prompt1,1) What am I good at that brings me joy?,1) ¿Qué hago bien que a la vez me trae alegría?
Prompt2,2) What groups am I a part of or could I join?,2) ¿De qué grupos soy parte o a cuáles podría unirme?
Prompt3,3) What needs to happen in our communities?,3) ¿Qué tiene que suceder en nuestras comunidades?
